,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Population,customer_loyalty,Service_Count,ServiceCategory,Charges per Service,charges Level,Churn_Flag
174,Male,38,No,1,Los Angeles,90015,34.039224,-118.266293,0,49,Yes,44.33,Yes,Yes,Fiber Optic,11.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.7,5036.3,0.0,0,2172.17,7208.47,Churned,Competitor,Competitor had better devices,15140,Loyal,8,Heavy Bundle,629.54,Mid Level of charges,1
175,Male,56,Yes,0,Pescadero,94060,37.22565,-122.297533,2,63,Yes,38.36,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,19.95,1234.8,0.0,0,2416.68,3651.48,Stayed,Still Customer,Still Customer,2055,Loyal,1,Single Service,1234.8,High Level of charges,0
176,Female,70,Yes,1,Aromas,95004,36.878364,-121.629781,1,12,No,0.0,No phone Service,Yes,DSL,14.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,29.3,355.9,0.0,0,0.0,355.9,Stayed,Still Customer,Still Customer,3373,Early,3,Light Bundle,118.63,Low Level of charges,0
177,Male,54,Yes,6,Badger,93603,36.64545,-118.924982,5,27,Yes,36.19,No,Yes,DSL,53.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,54.75,1510.3,0.0,0,977.13,2487.43,Stayed,Still Customer,Still Customer,273,Established,5,Light Bundle,302.06,Mid Level of charges,0
178,Female,57,No,0,Parlier,93648,36.622237,-119.521126,0,35,Yes,44.81,No,Yes,DSL,20.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,60.55,1982.6,0.0,0,1568.35,3550.95,Stayed,Still Customer,Still Customer,12587,Established,6,Heavy Bundle,330.43,Mid Level of charges,0
179,Female,40,Yes,2,Death Valley,92328,36.27688,-117.033326,7,54,Yes,4.33,Yes,Yes,DSL,12.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.2,4524.05,0.0,0,233.82,4757.87,Stayed,Still Customer,Still Customer,443,Loyal,9,Heavy Bundle,502.67,Mid Level of charges,0
180,Male,56,No,0,La Puente,91744,34.031441,-117.936436,0,1,Yes,5.59,Yes,Yes,Fiber Optic,2.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,95.45,0.0,0,5.59,101.04,Churned,Competitor,Competitor had better devices,84965,New,6,Heavy Bundle,15.91,Low Level of charges,1
181,Male,38,No,0,Riverdale,93656,36.452211,-119.94575,0,5,Yes,13.96,No,Yes,DSL,5.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,63.95,318.1,0.0,0,69.8,387.9,Stayed,Still Customer,Still Customer,5729,New,6,Heavy Bundle,53.02,Low Level of charges,0
182,Male,61,No,0,San Francisco,94104,37.791222,-122.402241,0,19,Yes,41.79,No,Yes,DSL,6.0,No,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,65.35,1231.85,0.0,60,794.01,2085.86,Stayed,Still Customer,Still Customer,384,Growth,6,Heavy Bundle,205.31,Mid Level of charges,0
183,Male,35,Yes,2,Berry Creek,95916,39.657228,-121.37778,1,52,No,0.0,No phone Service,Yes,DSL,17.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,50.2,2554.0,27.01,0,0.0,2526.99,Stayed,Still Customer,Still Customer,1279,Loyal,6,Heavy Bundle,425.67,Mid Level of charges,0
184,Female,61,Yes,3,Fulton,95439,38.493888,-122.777141,8,72,No,0.0,No phone Service,Yes,DSL,22.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,63.8,4684.3,0.0,0,0.0,4684.3,Stayed,Still Customer,Still Customer,476,Loyal,9,Heavy Bundle,520.48,Mid Level of charges,0
185,Male,50,No,0,Capitola,95010,36.977025,-121.952864,0,32,Yes,14.91,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,20.05,614.45,9.73,0,477.12,1081.84,Stayed,Still Customer,Still Customer,9673,Established,1,Single Service,614.45,Mid Level of charges,0
186,Female,47,Yes,0,San Diego,92109,32.787836,-117.232376,1,8,Yes,16.88,No,Yes,Fiber Optic,6.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,842.9,0.0,0,135.04,977.94,Churned,Competitor,Competitor made better offer,46086,Early,8,Heavy Bundle,105.36,Low Level of charges,1
187,Male,35,No,0,Claremont,91711,34.127621,-117.717863,0,41,Yes,37.55,Yes,Yes,DSL,30.0,No,No,Yes,No,No,Yes,Yes,No,One Year,No,Mailed Check,65.0,2531.8,0.0,140,1539.55,4211.35,Stayed,Still Customer,Still Customer,34716,Established,5,Light Bundle,506.36,Mid Level of charges,0
188,Male,32,No,0,Glendale,91207,34.182378,-118.262922,0,5,Yes,21.01,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,19.25,86.05,0.0,0,105.05,191.1,Stayed,Still Customer,Still Customer,9864,New,1,Single Service,86.05,Low Level of charges,0
189,Female,54,No,1,Gardena,90248,33.876482,-118.284077,0,11,No,0.0,No phone Service,Yes,DSL,17.0,Yes,No,No,Yes,No,No,No,No,One Year,Yes,Credit Card,36.05,402.6,0.0,100,0.0,502.6,Stayed,Still Customer,Still Customer,9960,Early,3,Light Bundle,134.2,Low Level of charges,0
190,Male,61,No,0,Fallbrook,92028,33.362575,-117.299644,0,5,Yes,31.09,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1,453.4,0.0,0,155.45,608.85,Churned,Competitor,Competitor made better offer,42239,New,7,Heavy Bundle,64.77,Low Level of charges,1
191,Female,62,No,0,San Francisco,94134,37.721052,-122.413573,0,16,Yes,41.51,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,19.05,326.65,0.0,0,664.16,990.81,Stayed,Still Customer,Still Customer,40137,Growth,1,Single Service,326.65,Mid Level of charges,0
192,Male,80,No,0,San Diego,92126,32.886925,-117.152162,0,71,Yes,6.1,Yes,Yes,Fiber Optic,9.0,No,Yes,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,105.75,7382.85,0.0,0,433.1,7815.95,Stayed,Still Customer,Still Customer,74232,Loyal,7,Heavy Bundle,1054.69,High Level of charges,0
193,Female,23,No,0,Santa Ana,92703,33.748635,-117.906125,0,11,No,0.0,No phone Service,Yes,DSL,59.0,No,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,40.4,422.6,0.0,0,0.0,422.6,Stayed,Still Customer,Still Customer,70011,Early,5,Light Bundle,84.52,Low Level of charges,0
194,Female,63,Yes,0,Snelling,95369,37.521708,-120.426843,1,61,Yes,49.33,Yes,Yes,Fiber Optic,7.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.15,6010.05,0.0,0,3009.13,9019.18,Churned,Dissatisfaction,Service dissatisfaction,1158,Loyal,7,Heavy Bundle,858.58,High Level of charges,1
195,Female,50,Yes,0,Darwin,93522,36.319181,-117.593053,2,71,Yes,23.06,No,Yes,Cable,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,84.8,6046.1,0.0,0,1637.26,7683.36,Stayed,Still Customer,Still Customer,64,Loyal,10,Heavy Bundle,604.61,Mid Level of charges,0
196,Male,56,No,0,San Bernardino,92404,34.183286,-117.221722,0,9,Yes,40.74,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.85,178.8,0.0,0,366.66,545.46,Stayed,Still Customer,Still Customer,53636,Early,1,Single Service,178.8,Low Level of charges,0
197,Female,63,No,0,Garberville,95542,40.057784,-123.679461,0,6,Yes,39.16,No,Yes,DSL,8.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.45,314.6,0.0,0,234.96,549.56,Stayed,Still Customer,Still Customer,2423,New,4,Light Bundle,78.65,Low Level of charges,0
198,Female,58,No,0,Long Beach,90807,33.830099,-118.182239,0,26,Yes,38.09,No,Yes,Fiber Optic,22.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.8,2274.35,0.0,50,990.34,3314.69,Churned,Dissatisfaction,Service dissatisfaction,31556,Established,5,Light Bundle,454.87,Mid Level of charges,1
199,Female,29,No,0,Upland,91784,34.141146,-117.655583,0,6,Yes,6.98,No,Yes,Cable,30.0,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,55.15,322.9,0.0,0,41.88,364.78,Stayed,Still Customer,Still Customer,23331,New,4,Light Bundle,80.72,Low Level of charges,0
200,Male,54,No,0,El Dorado Hills,95762,38.684437,-121.055634,0,11,Yes,30.57,No,Yes,Fiber Optic,15.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.8,888.75,0.0,0,336.27,1225.02,Stayed,Still Customer,Still Customer,22028,Early,6,Heavy Bundle,148.12,Low Level of charges,0
201,Male,25,Yes,0,Santa Rosa,95403,38.488431,-122.752839,1,1,Yes,43.67,No,Yes,Fiber Optic,73.0,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,0.0,0,43.67,124.22,Churned,Competitor,Competitor had better devices,40270,New,4,Light Bundle,20.14,Low Level of charges,1
202,Female,31,Yes,0,Malibu,90265,34.074572,-118.831181,10,49,Yes,2.82,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Withdrawal,20.15,973.35,0.0,0,138.18,1111.53,Stayed,Still Customer,Still Customer,19630,Loyal,1,Single Service,973.35,High Level of charges,0
203,Female,25,Yes,2,Santa Rosa,95401,38.460517,-122.790335,9,3,Yes,11.47,No,Yes,DSL,51.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,58.7,168.6,0.0,0,34.41,203.01,Joined,Still Customer,Still Customer,36125,New,5,Light Bundle,33.72,Low Level of charges,0
204,Female,46,No,0,Riverdale,93656,36.452211,-119.94575,0,53,Yes,43.57,No,Yes,Fiber Optic,13.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,99.5,5424.25,0.0,0,2309.21,7733.46,Stayed,Still Customer,Still Customer,5729,Loyal,9,Heavy Bundle,602.69,Mid Level of charges,0
205,Male,28,Yes,0,Oxnard,93035,34.18454,-119.224666,1,23,Yes,37.95,No,Yes,Fiber Optic,27.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.3,0.0,0,872.85,3204.15,Churned,Other,Don't know,25322,Growth,8,Heavy Bundle,291.41,Mid Level of charges,1
206,Male,63,No,0,Palmdale,93591,34.598221,-117.79593,0,2,Yes,25.49,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,0.0,0,50.98,140.48,Churned,Competitor,Competitor had better devices,6787,New,3,Light Bundle,29.83,Low Level of charges,1
207,Male,37,No,0,Covina,91723,34.084747,-117.886844,0,1,Yes,11.35,No,Yes,DSL,9.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.55,48.55,0.0,0,11.35,59.9,Churned,Attitude,Attitude of support person,17554,New,4,Light Bundle,12.14,Low Level of charges,1
208,Male,44,No,1,San Lucas,93954,36.125529,-120.864443,0,3,Yes,33.87,Yes,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,26.4,121.25,0.0,0,101.61,222.86,Joined,Still Customer,Still Customer,521,New,1,Single Service,121.25,Low Level of charges,0
209,Female,74,Yes,0,Palmdale,93591,34.598221,-117.79593,1,68,Yes,21.33,Yes,Yes,Cable,24.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.2,6851.65,0.0,0,1450.44,8302.09,Churned,Competitor,Competitor offered more data,6787,Loyal,7,Heavy Bundle,978.81,High Level of charges,1
210,Male,44,No,0,Hoopa,95546,41.163637,-123.704841,0,8,Yes,19.49,No,Yes,Fiber Optic,10.0,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.7,740.3,0.0,80,155.92,976.22,Churned,Competitor,Competitor offered more data,3041,Early,6,Heavy Bundle,123.38,Low Level of charges,1
211,Female,21,Yes,0,Long Beach,90802,33.752524,-118.210737,9,70,Yes,16.66,Yes,Yes,Fiber Optic,26.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,97.65,6982.5,0.0,80,1166.2,8228.7,Stayed,Still Customer,Still Customer,38427,Loyal,6,Heavy Bundle,1163.75,High Level of charges,0
212,Male,62,Yes,3,Samoa,95564,40.809636,-124.189977,9,39,Yes,17.29,Yes,Yes,Fiber Optic,75.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.0,3835.55,0.0,0,674.31,4509.86,Stayed,Still Customer,Still Customer,395,Established,7,Heavy Bundle,547.94,Mid Level of charges,0
213,Female,43,No,0,Burnt Ranch,95527,40.854512,-123.450097,0,1,Yes,17.37,No,Yes,Fiber Optic,25.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.1,70.1,0.0,0,17.37,87.47,Churned,Competitor,Competitor had better devices,485,New,3,Light Bundle,23.37,Low Level of charges,1
214,Female,40,No,0,Garden Grove,92844,33.766476,-117.969795,0,3,Yes,30.18,No,Yes,Fiber Optic,7.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.9,315.3,0.0,0,90.54,405.84,Churned,Price,Price too high,23481,New,8,Heavy Bundle,39.41,Low Level of charges,1
215,Male,48,Yes,0,Milford,96121,40.181279,-120.392967,8,60,Yes,19.22,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,102.5,6157.6,0.0,0,1153.2,7310.8,Stayed,Still Customer,Still Customer,481,Loyal,8,Heavy Bundle,769.7,Mid Level of charges,0
216,Female,55,Yes,0,Anderson,96007,40.448632,-122.306657,1,5,Yes,17.08,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,330.15,0.0,0,85.4,415.55,Churned,Attitude,Attitude of service provider,21418,New,3,Light Bundle,110.05,Low Level of charges,1
217,Male,77,No,0,San Diego,92122,32.85723,-117.209774,0,3,Yes,9.22,Yes,Yes,Fiber Optic,14.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.66,261.36,Churned,Competitor,Competitor made better offer,34902,New,4,Light Bundle,58.42,Low Level of charges,1
218,Female,41,Yes,0,San Diego,92123,32.808814,-117.134694,0,55,Yes,35.38,Yes,Yes,Cable,13.0,Yes,Yes,No,Yes,No,No,No,No,One Year,Yes,Credit Card,66.05,3462.1,44.53,150,1945.9,5513.47,Stayed,Still Customer,Still Customer,25232,Loyal,5,Light Bundle,692.42,Mid Level of charges,0
219,Male,43,No,0,Santa Margarita,93453,35.303926,-120.256567,0,72,No,0.0,No phone Service,Yes,DSL,6.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,61.2,4390.25,0.0,0,0.0,4390.25,Stayed,Still Customer,Still Customer,2687,Loyal,8,Heavy Bundle,548.78,Mid Level of charges,0
220,Male,69,Yes,0,Orange,92869,33.792791,-117.789749,7,72,Yes,5.27,No,Yes,DSL,9.0,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Bank Withdrawal,74.4,5360.75,0.0,140,379.44,5880.19,Stayed,Still Customer,Still Customer,37916,Loyal,7,Heavy Bundle,765.82,Mid Level of charges,0
221,Female,63,No,0,Los Angeles,90033,34.050198,-118.210946,0,41,Yes,10.43,Yes,Yes,Fiber Optic,22.0,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.3,4443.45,0.0,130,427.63,5001.08,Churned,Price,Price too high,49431,Established,7,Heavy Bundle,634.78,Mid Level of charges,1
222,Male,38,No,0,San Jose,95111,37.284265,-121.827673,0,60,No,0.0,No phone Service,Yes,DSL,25.0,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,39.6,2424.5,38.46,0,0.0,2386.04,Stayed,Still Customer,Still Customer,57748,Loyal,5,Light Bundle,484.9,Mid Level of charges,0
223,Female,43,No,0,San Diego,92109,32.787836,-117.232376,0,6,Yes,2.6,No,Yes,Fiber Optic,22.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.3,577.6,0.0,0,15.6,593.2,Churned,Other,Don't know,46086,New,6,Heavy Bundle,96.27,Low Level of charges,1
224,Female,29,Yes,0,Ione,95640,38.33788,-120.954202,6,46,Yes,2.0,Yes,Yes,Fiber Optic,48.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,108.9,4854.3,0.0,0,92.0,4946.3,Stayed,Still Customer,Still Customer,9752,Established,9,Heavy Bundle,539.37,Mid Level of charges,0
225,Female,46,No,0,San Mateo,94404,37.556094,-122.272437,0,15,Yes,2.74,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Mailed Check,19.9,320.45,0.0,0,41.1,361.55,Stayed,Still Customer,Still Customer,31882,Growth,1,Single Service,320.45,Mid Level of charges,0
226,Female,33,Yes,0,San Diego,92117,32.825086,-117.199424,1,58,Yes,3.51,Yes,Yes,Fiber Optic,28.0,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,102.1,5885.4,0.0,100,203.58,6188.98,Churned,Competitor,Competitor made better offer,51213,Loyal,7,Heavy Bundle,840.77,High Level of charges,1
227,Male,60,Yes,3,Los Angeles,90034,34.030578,-118.399613,10,23,Yes,34.04,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,19.6,426.65,0.0,0,782.92,1209.57,Stayed,Still Customer,Still Customer,58218,Growth,1,Single Service,426.65,Mid Level of charges,0
228,Female,70,Yes,0,San Francisco,94130,37.820894,-122.369725,1,31,Yes,47.95,No,Yes,Fiber Optic,21.0,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3,0.0,0,1486.45,4397.75,Churned,Other,Don't know,1458,Established,7,Heavy Bundle,415.9,Mid Level of charges,1
229,Male,54,Yes,0,Santa Cruz,95062,36.974575,-121.991149,1,11,Yes,12.95,No,Yes,Cable,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.9,521.9,0.0,0,142.45,664.35,Stayed,Still Customer,Still Customer,36631,Early,3,Light Bundle,173.97,Low Level of charges,0
230,Female,80,No,0,Winchester,92596,33.657433,-117.04254,0,56,Yes,17.33,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,99.9,5706.3,0.0,0,970.48,6676.78,Stayed,Still Customer,Still Customer,4093,Loyal,7,Heavy Bundle,815.19,High Level of charges,0
231,Female,41,No,3,El Cajon,92021,32.832706,-116.873258,0,25,Yes,12.87,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,20.05,471.7,0.0,0,321.75,793.45,Stayed,Still Customer,Still Customer,61872,Established,1,Single Service,471.7,Mid Level of charges,0
232,Female,38,No,0,Sherman Oaks,91403,34.147149,-118.463365,0,68,No,0.0,No phone Service,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,-8.0,4539.6,0.0,130,0.0,4669.6,Stayed,Still Customer,Still Customer,22085,Loyal,8,Heavy Bundle,567.45,Mid Level of charges,0
233,Female,48,No,0,Norco,92860,33.925833,-117.559639,0,40,Yes,26.03,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card,19.65,830.25,0.0,0,1041.2,1871.45,Stayed,Still Customer,Still Customer,22443,Established,1,Single Service,830.25,High Level of charges,0
234,Male,46,No,0,Thornton,95686,38.157794,-121.520223,0,36,Yes,24.66,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.9,3067.2,0.0,0,887.76,3954.96,Churned,Attitude,Attitude of service provider,1472,Established,5,Light Bundle,613.44,Mid Level of charges,1
235,Male,22,No,0,Lake Hughes,93532,34.659579,-118.584212,0,32,Yes,27.69,Yes,Yes,Fiber Optic,73.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,3432.9,0.0,0,886.08,4318.98,Churned,Attitude,Attitude of service provider,2771,Established,9,Heavy Bundle,381.43,Mid Level of charges,1
236,Male,28,Yes,3,Paramount,90723,33.897122,-118.164432,10,71,Yes,10.11,Yes,Yes,DSL,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.85,6263.8,0.0,0,717.81,6981.61,Stayed,Still Customer,Still Customer,55306,Loyal,10,Heavy Bundle,626.38,Mid Level of charges,0
237,Male,58,Yes,0,San Juan Capistrano,92675,33.521447,-117.602555,2,17,Yes,10.11,Yes,Yes,Fiber Optic,2.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.55,1742.5,0.0,0,171.87,1914.37,Stayed,Still Customer,Still Customer,34321,Growth,8,Heavy Bundle,217.81,Mid Level of charges,0
238,Male,55,Yes,0,Copperopolis,95228,37.943954,-120.67108,6,18,Yes,31.79,No,Yes,Fiber Optic,19.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.2,1468.75,0.0,0,572.22,2040.97,Stayed,Still Customer,Still Customer,2633,Growth,5,Light Bundle,293.75,Mid Level of charges,0
239,Female,52,No,0,Covina,91724,34.08111,-117.853935,0,37,Yes,11.73,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,91.2,3382.3,0.0,0,434.01,3816.31,Stayed,Still Customer,Still Customer,25068,Established,5,Light Bundle,676.46,Mid Level of charges,0
240,Male,42,No,0,Colusa,95932,39.273096,-122.050763,0,2,Yes,44.34,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,19.35,46.35,0.0,0,88.68,135.03,Joined,Still Customer,Still Customer,7503,New,1,Single Service,46.35,Low Level of charges,0
241,Female,56,Yes,2,Cypress,90630,33.818477,-118.038307,6,28,Yes,12.94,No,Yes,Fiber Optic,24.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.4,1992.2,0.0,0,362.32,2354.52,Stayed,Still Customer,Still Customer,47344,Established,3,Light Bundle,664.07,Mid Level of charges,0
242,Male,34,No,0,Sacramento,95814,38.584505,-121.491956,0,9,No,0.0,No phone Service,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,39.55,373.0,0.0,0,0.0,373.0,Stayed,Still Customer,Still Customer,16599,Early,5,Light Bundle,74.6,Low Level of charges,0
243,Female,63,No,0,Lancaster,93534,34.727529,-118.153098,0,1,Yes,38.33,No,Yes,DSL,24.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,50.15,50.15,0.0,50,38.33,138.48,Joined,Still Customer,Still Customer,35109,New,3,Light Bundle,16.72,Low Level of charges,0
244,Male,59,Yes,0,Orange,92867,33.81859,-117.821288,1,65,Yes,23.46,No,No,No Internet Service,0.0,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Credit Card,20.4,1414.45,0.0,0,1524.9,2939.35,Stayed,Still Customer,Still Customer,40915,Loyal,1,Single Service,1414.45,High Level of charges,0
245,Female,62,No,0,Gonzales,93926,36.52588,-121.396719,0,3,Yes,15.59,No,Yes,Cable,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.6,122.7,0.0,0,46.77,169.47,Joined,Still Customer,Still Customer,9023,New,3,Light Bundle,40.9,Low Level of charges,0
246,Female,31,No,0,Los Angeles,90045,33.954017,-118.402447,0,1,No,0.0,No phone Service,Yes,DSL,8.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0.0,0,0.0,34.7,Churned,Other,Don't know,39334,New,3,Light Bundle,11.57,Low Level of charges,1
247,Male,24,Yes,0,San Ysidro,92173,32.555828,-117.040073,3,36,Yes,41.33,No,Yes,Fiber Optic,41.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.6,3366.05,16.56,0,1487.88,4837.37,Stayed,Still Customer,Still Customer,28488,Established,7,Heavy Bundle,480.86,Mid Level of charges,0
248,Male,21,No,0,Novato,94949,38.067204,-122.524004,0,23,Yes,38.69,Yes,Yes,Cable,69.0,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.6,1943.2,4.73,0,889.87,2828.34,Churned,Competitor,Competitor offered higher download speeds,13361,Growth,6,Heavy Bundle,323.87,Mid Level of charges,1
249,Male,21,Yes,3,Gilroy,95020,37.03889,-121.528955,9,22,Yes,42.58,No,Yes,DSL,82.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit Card,57.95,1271.8,0.0,0,936.76,2208.56,Stayed,Still Customer,Still Customer,49968,Growth,7,Heavy Bundle,181.69,Low Level of charges,0
